ClientDeviceType,ClientIP,ClientIPClass,ClientStatus,ClientRequestBytes,ClientRequestReferer,ClientRequestURI,ClientRequestUserAgent,ClientSrcPort,EdgeServerIP,EdgeStartTimestamp,DestinationIP,OriginResponseBytes,OriginResponseTime
desktop,192.168.87.52,noRecord,403,889,graylog.org,/search,"Mozilla/5.0 (compatible, MSIE 11, Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko",122,10.0.151.71,1576929197,172.16.153.30,821,337000000
desktop,192.168.69.68,noRecord,200,430,graylog.org,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",360,10.0.214.66,1576929197,172.16.60.103,696,110000000
desktop,192.168.130.44,noRecord,200,1018,graylog.org,/search,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),752,10.0.89.12,1576929197,172.16.180.218,274,390000000
desktop,192.168.160.102,noRecord,200,181,torch.sh,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",216,10.0.66.14,1576929197,172.16.32.165,195,384000000
mobile,192.168.185.42,noRecord,200,839,graylog.org,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15",1012,10.0.173.205,1576929197,172.16.109.225,456,161000000
desktop,192.168.37.197,noRecord,200,123,torch.sh,/search,"Mozilla/5.0 (Linux; <Android Version>; <Build Tag etc.>) AppleWebKit/<WebKit Rev> (KHTML, like Gecko) Chrome/<Chrome Rev> Mobile Safari/<WebKit Rev>",752,10.0.146.132,1576929197,172.16.117.79,927,234000000
desktop,192.168.225.180,noRecord,200,424,graylog.com,/search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",999,10.0.61.47,1576929197,172.16.154.251,235,60000000
mobile,192.168.187.112,noRecord,200,261,graylog.org,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",439,10.0.223.173,1576929197,172.16.206.150,196,219000000
mobile,192.168.196.248,noRecord,200,321,graylog.com,/search,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",528,10.0.153.95,1576929197,172.16.136.104,383,263000000
mobile,192.168.111.137,noRecord,200,237,torch.sh,/search,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/56.0.2924.75 Mobile/14E5239e Safari/602.1",340,10.0.42.44,1576929197,172.16.247.86,124,323000000
